   ,title                    ,subtitle                                                                          ,link
42 ,SOCIEDAD 0 MAN UTD 1     ,Garnacho nicks victory but United fail to win group so may face Barca             ,https://www.thesun.co.uk/sport/20317388/man-utd-vs-real-sociedad-europa-league/
43 ,ARSENAL 1 FC ZURICH 0    ,Tierney screamer sends Arsenal into last-16 as they avoid play-off                ,https://www.thesun.co.uk/sport/20318506/arsenal-1-zurich-0-tierney-screamer-europa-league-last-16/
44 ,RON INFLUENCE            ,Ronaldo gives Garnacho permission to do new celebration after teenager's goal     ,https://www.thesun.co.uk/sport/20319760/cristiano-ronaldo-celebration-alejandro-garnacho-man-utd/
45 ,LUDO-CROUS               ,Shocking moment Roma ace's neck and face STAMPED ON by Ludogorets defender        ,https://www.thesun.co.uk/sport/20318759/roma-ludogorets-stamp-zalewski-verdon-europa-league/
46 ,BIG DEALS                ,How to get free bets on football - the best bookies to claim rewards and bonuses  ,https://www.thesun.co.uk/sport/betting-tips/19779073/football-free-bets-offers-bonus-new-sign-up/
47 ,MEGA OFFER               ,World Cup 2022: Get up to £100 in free bets and bonuses with Spreadex             ,https://www.thesun.co.uk/sport/betting-tips/20289291/spreadex-world-cup-free-bets-bonus-100-offer/
48 ,MEGA OFFERS              ,"Chelsea vs Arsenal: The 16 best free bets, bonuses and sign-up offers"           ,https://www.thesun.co.uk/sport/betting-tips/19957655/chelsea-arsenal-free-bets-offers-bonuses/
49 ,KVARADONA                ,Chelsea eye Napoli's Kvaratskhelia but value has increased TEN times since summer ,https://www.thesun.co.uk/sport/20308079/chelsea-khvicha-kvaratskhelia-transfer-target-napoli/
50 ,END PLAN                 ,Wonderkid Endrick hints at Man Utd transfer after copying Ronaldo celebration     ,https://www.thesun.co.uk/sport/20316513/wonderkid-endrick-copy-ronaldo-celebration-man-utd-transfer/
51 ,WIL I NEVER              ,Barcelona and Juventus enter race for Zaha to rival Chelsea and Arsenal           ,https://www.thesun.co.uk/sport/20323259/wilfried-zaha-chelsea-arsenal-barcelona-juventus-crystal-palace-transfer/
52 ,PRES-ING ON              ,Chelsea transfer blow as ‘Kimpembe opens talks with PSG over new contract’        ,https://www.thesun.co.uk/sport/20319812/chelsea-transfer-blow-presnel-kimpembe-psg-contract/
53 ,MAD HOUSE                ,Man Utd in Felix transfer boost with Atletico Madrid 'willing to listen offers'   ,https://www.thesun.co.uk/sport/20319510/man-utd-transfer-boost-joao-felix-atletico-madrid/
54 ,FOOTBALL LATEST          ,"Kepa OUT of World Cup LATEST, injured Chilwell blow, Haaland return updates"     ,https://www.thesun.co.uk/sport/19994688/football-news-live-kepa-chelsea-ben-chilwell-world-cup-erling-haaland/
55 ,UNITED NEWS              ,"Europa League play-off CONFIRMED, potential Barcelona clash, Bellingham links"   ,https://www.thesun.co.uk/sport/19994861/man-utd-news-live-europa-league-reaction-bellingham-de-jong/
56 ,GUNNERS LIVE             ,"Tomiyasu injury latest, Zurich win reaction"                                     ,https://www.thesun.co.uk/sport/20217347/arsenal-news-live-europa-league-reaction-saka-chelsea-zaha/
57 ,FREE LIONS               ,England fans 'paid to SPY in Qatar with free tickets & orders to sing for TV'     ,https://www.thesun.co.uk/sport/20320044/england-fans-paid-spies-qatar-world-cup/
58 ,UNLIKELY LIONS           ,How England could line-up with Southgate using fringe stars of 55-man squad       ,https://www.thesun.co.uk/sport/20296062/england-line-up-gareth-southgate-squad-welbeck-eze/
59 ,CHILING NEWS             ,Chilwell in World Cup heartbreak with England star OUT after hamstring 'pops'     ,https://www.thesun.co.uk/sport/football/20312823/ben-chilwell-injury-world-cup-england-chelsea/
60 ,QAT IT OUT               ,Fifa send letter telling nations playing in World Cup to concentrate on football  ,https://www.thesun.co.uk/sport/20317929/fifa-letter-qatar-world-cup/
61 ,MARK IRWIN               ,If anyone injures Harry Kane before World Cup they'll be a national hate figure   ,https://www.thesun.co.uk/sport/20318583/harry-kane-world-cup-injury/
62 ,SON BLOW                 ,Son's World Cup dream in the balance as South Korea set to make final decision    ,https://www.thesun.co.uk/sport/20309532/son-heung-min-injury-world-cup-tottenham-south-korea/
63 ,GAR BLIMEY               ,Wales fail to fill 55-player provisional World Cup squad unlike rivals England    ,https://www.thesun.co.uk/sport/20309191/wales-55-man-world-cup-squad-gareth-bale/
64 ,DAVE KIDD                ,World Cups are supposed to be about fun... but this will be as dry as a desert    ,https://www.thesun.co.uk/sport/20282190/dave-kidd-qatar-world-cup-fun/
65 ,KARREN BRADY             ,Fifa deserves all the flak it gets over Qatar 2022 call but criticis too late     ,https://www.thesun.co.uk/sport/20257686/fifa-flak-world-cup-qatar-karren-brady/
66 ,TROY DEENEY              ,No excuse for Klopp or Conte's antics but refs must improve communication         ,https://www.thesun.co.uk/sport/20258247/troy-deeney-jurgen-klopp-antonio-conte-referees-decisions/
67 ,ON YOUR MARKS            ,'World's most beautiful footballer' refuses to rule out move to England           ,https://www.thesun.co.uk/sport/20220770/most-beautiful-footballer-ana-maria-markovic-move-england/
68 ,SISTER ACT               ,Neymar's sister Rafaella puts on busty display as she wows in tight top           ,https://www.thesun.co.uk/sport/20279421/neymar-sister-rafaella-santos-psg-busty/
69 ,MUST BE GLOVE            ,Karius spotted visiting TV beauty Diletta in Italy after Toon's win at Spurs      ,https://www.thesun.co.uk/sport/20229864/loris-karius-spotted-visiting-tv-beauty-diletta-leotta-newcastle/
70 ,MASON MOUNT OLYMPUS      ,Mason Mount channels Greek God to star in Sports Direct’s Christmas ad            ,https://www.thesun.co.uk/sport/20307233/mason-mount-sports-directs-christmas-advert/
71 ,WHAT THE HAAL            ,Erling Haaland shows off bold new hairstyle as striker recovers from injury       ,https://www.thesun.co.uk/sport/20283922/erling-haaland-hairstyle-braids-ponytail-man-city-braids/
72 ,SPICE UP YOUR WIFE       ,England ace Walker and Wag Annie dress up as Spice Girls for Halloween            ,https://www.thesun.co.uk/sport/20283374/england-man-city-kyle-walker-wife-spice-girls-halloween/
73 ,IN THE CLEAR             ,Joey Barton's assault trial dismissed after he's accused of 'kicking wife’        ,https://www.thesun.co.uk/sport/20273702/joey-barton-assault-trial-kicked-wife/
74 ,TERRYFIC                 ,Terry and wife Toni relax in infinity pool and enjoy quad bikes on Dubai holiday  ,https://www.thesun.co.uk/sport/20254563/john-terry-dubai-holiday-pool/
75 ,PASS THE TORCH           ,Gen Z's world-class midfielders set to take World Cup by storm this winter        ,https://www.thesun.co.uk/sport/football/dream-team/20316404/world-cup-fantasy-football-next-generation-midfielders-qatar/
76 ,MONEY TALKS              ,Kevin De Bruyne is deservedly Dream Team World Cup's most-expensive midfielder    ,https://www.thesun.co.uk/sport/football/dream-team/20316354/kevin-de-bruyne-belgium-world-cup-fantasy-football-midfielders/
77 ,EARLY XMAS               ,November's Dream Team monthly competition starts soon - win a PS5 in 10 days!     ,https://www.thesun.co.uk/sport/football/dream-team/20285037/november-monthly-competition-fantasy-football-playstation-5-christmas/
